Var1	Var2	stat	pval	pval2	type
HTC	HOC	6	0.109375	0.251309275046619	He
HTC	EAS	0	0.0078125	0.078125	He
HTC	GCC	3	0.0390625	0.1953125	He
HTC	HCO	8	0.1953125	0.279017857142857	He
HOC	EAS	14	0.640625	0.640625	He
HOC	GCC	24	0.4609375	0.512152777777778	He
HOC	HCO	29	0.1484375	0.251309275046619	He
EAS	GCC	23	0.150785565027971	0.251309275046619	He
EAS	HCO	30	0.109375	0.251309275046619	He
GCC	HCO	27	0.25	0.3125	He
HTC	HOC	1.5	0.0707498670763777	0.162520896963516	A
HTC	EAS	10	1	1	A
HTC	GCC	12.5	0.203091787577168	0.25386473447146	A
HTC	HCO	2	0.0844690322532518	0.162520896963516	A
HOC	EAS	10	0.0975125381781096	0.162520896963516	A
HOC	GCC	21	0.0350149810196625	0.162520896963516	A
HOC	HCO	8	0.665312323992124	0.739235915546804	A
EAS	GCC	12.5	0.203091787577168	0.25386473447146	A
EAS	HCO	2.5	0.0582969188145027	0.162520896963516	A
GCC	HCO	3.5	0.0482718108517104	0.162520896963516	A
EAS	GCC	0.0752531051038514	0.0099009900990099	0.011001100110011	Fst
EAS	HCO	0.0396531243037388	0.0099009900990099	0.011001100110011	Fst
EAS	HOC	0.0270077187097175	0.0198019801980198	0.0198019801980198	Fst
EAS	HTC	0.0377170158012675	0.0099009900990099	0.011001100110011	Fst
GCC	HCO	0.0694411947971177	0.0099009900990099	0.011001100110011	Fst
GCC	HOC	0.0638343525372814	0.0099009900990099	0.011001100110011	Fst
GCC	HTC	0.0984935534983068	0.0099009900990099	0.011001100110011	Fst
HCO	HOC	0.0280791629763659	0.0099009900990099	0.011001100110011	Fst
HCO	HTC	0.0239387838942484	0.0099009900990099	0.011001100110011	Fst
HOC	HTC	0.0392552788955247	0.0099009900990099	0.011001100110011	Fst
