uk.mom	uk.dad	mom.disc	dad.disc	noff	mom.p.disc	dad.p.disc	file
0	0	30	28	109	0.28	0.26	BestConfig.1.txt
0	0	16	19	109	0.15	0.17	BestConfig.10.txt
0	0	27	14	109	0.25	0.13	BestConfig.100.txt
0	0	20	11	109	0.18	0.1	BestConfig.1000.txt
0	0	15	17	109	0.14	0.16	BestConfig.101.txt
0	0	22	23	109	0.2	0.21	BestConfig.102.txt
0	0	19	22	109	0.17	0.2	BestConfig.104.txt
0	0	26	19	109	0.24	0.17	BestConfig.105.txt
0	0	14	21	109	0.13	0.19	BestConfig.106.txt
0	0	35	20	109	0.32	0.18	BestConfig.107.txt
0	0	22	13	109	0.2	0.12	BestConfig.108.txt
0	0	16	20	109	0.15	0.18	BestConfig.109.txt
0	0	25	18	109	0.23	0.17	BestConfig.11.txt
0	0	17	19	109	0.16	0.17	BestConfig.110.txt
0	0	31	24	109	0.28	0.22	BestConfig.111.txt
0	0	19	9	109	0.17	0.08	BestConfig.112.txt
0	0	19	19	109	0.17	0.17	BestConfig.113.txt
0	0	21	18	109	0.19	0.17	BestConfig.114.txt
0	0	20	17	109	0.18	0.16	BestConfig.115.txt
0	0	16	19	109	0.15	0.17	BestConfig.116.txt
0	0	19	26	109	0.17	0.24	BestConfig.117.txt
0	0	19	27	109	0.17	0.25	BestConfig.118.txt
0	0	27	26	109	0.25	0.24	BestConfig.119.txt
0	0	29	25	109	0.27	0.23	BestConfig.12.txt
0	0	24	19	109	0.22	0.17	BestConfig.120.txt
0	0	33	26	109	0.3	0.24	BestConfig.121.txt
0	0	28	12	109	0.26	0.11	BestConfig.122.txt
0	0	21	15	109	0.19	0.14	BestConfig.123.txt
0	0	23	15	109	0.21	0.14	BestConfig.124.txt
0	0	29	14	109	0.27	0.13	BestConfig.125.txt
0	0	26	20	109	0.24	0.18	BestConfig.126.txt
0	0	24	21	109	0.22	0.19	BestConfig.127.txt
0	0	24	17	109	0.22	0.16	BestConfig.128.txt
0	0	25	24	109	0.23	0.22	BestConfig.129.txt
0	0	26	30	109	0.24	0.28	BestConfig.13.txt
0	0	20	18	109	0.18	0.17	BestConfig.130.txt
0	0	29	13	109	0.27	0.12	BestConfig.131.txt
0	0	24	19	109	0.22	0.17	BestConfig.132.txt
0	0	21	28	109	0.19	0.26	BestConfig.133.txt
0	0	26	21	109	0.24	0.19	BestConfig.134.txt
0	0	25	22	109	0.23	0.2	BestConfig.135.txt
0	0	12	23	109	0.11	0.21	BestConfig.136.txt
0	0	21	17	109	0.19	0.16	BestConfig.137.txt
0	0	32	19	109	0.29	0.17	BestConfig.138.txt
0	0	19	14	109	0.17	0.13	BestConfig.139.txt
0	0	24	15	109	0.22	0.14	BestConfig.14.txt
0	0	14	22	109	0.13	0.2	BestConfig.140.txt
0	0	34	26	109	0.31	0.24	BestConfig.141.txt
0	0	27	19	109	0.25	0.17	BestConfig.142.txt
0	0	24	19	109	0.22	0.17	BestConfig.143.txt
0	0	19	19	109	0.17	0.17	BestConfig.144.txt
0	0	22	28	109	0.2	0.26	BestConfig.145.txt
0	0	29	15	109	0.27	0.14	BestConfig.146.txt
0	0	27	23	109	0.25	0.21	BestConfig.147.txt
0	0	35	22	109	0.32	0.2	BestConfig.148.txt
0	0	16	25	109	0.15	0.23	BestConfig.149.txt
0	0	22	18	109	0.2	0.17	BestConfig.15.txt
0	0	21	18	109	0.19	0.17	BestConfig.150.txt
0	0	23	17	109	0.21	0.16	BestConfig.151.txt
0	0	20	17	109	0.18	0.16	BestConfig.152.txt
0	0	22	19	109	0.2	0.17	BestConfig.153.txt
0	0	22	23	109	0.2	0.21	BestConfig.154.txt
0	0	24	24	109	0.22	0.22	BestConfig.155.txt
0	0	32	30	109	0.29	0.28	BestConfig.156.txt
0	0	23	18	109	0.21	0.17	BestConfig.157.txt
0	0	25	18	109	0.23	0.17	BestConfig.158.txt
0	0	20	13	109	0.18	0.12	BestConfig.159.txt
0	0	17	16	109	0.16	0.15	BestConfig.160.txt
0	0	29	26	109	0.27	0.24	BestConfig.161.txt
0	0	27	19	109	0.25	0.17	BestConfig.162.txt
0	0	22	20	109	0.2	0.18	BestConfig.163.txt
0	0	34	18	109	0.31	0.17	BestConfig.164.txt
0	0	27	25	109	0.25	0.23	BestConfig.165.txt
0	0	37	21	109	0.34	0.19	BestConfig.166.txt
0	0	19	13	109	0.17	0.12	BestConfig.167.txt
0	0	23	28	109	0.21	0.26	BestConfig.168.txt
0	0	24	15	109	0.22	0.14	BestConfig.169.txt
0	0	26	20	109	0.24	0.18	BestConfig.17.txt
0	0	24	20	109	0.22	0.18	BestConfig.170.txt
0	0	29	20	109	0.27	0.18	BestConfig.171.txt
0	0	25	22	109	0.23	0.2	BestConfig.172.txt
0	0	29	27	109	0.27	0.25	BestConfig.173.txt
0	0	34	27	109	0.31	0.25	BestConfig.174.txt
0	0	12	15	109	0.11	0.14	BestConfig.175.txt
0	0	22	20	109	0.2	0.18	BestConfig.176.txt
0	0	30	29	109	0.28	0.27	BestConfig.177.txt
0	0	25	21	109	0.23	0.19	BestConfig.178.txt
0	0	18	12	109	0.17	0.11	BestConfig.179.txt
0	0	10	23	109	0.09	0.21	BestConfig.18.txt
0	0	19	17	109	0.17	0.16	BestConfig.180.txt
0	0	32	21	109	0.29	0.19	BestConfig.181.txt
0	0	22	15	109	0.2	0.14	BestConfig.182.txt
0	0	29	23	109	0.27	0.21	BestConfig.183.txt
0	0	23	17	109	0.21	0.16	BestConfig.184.txt
0	0	22	19	109	0.2	0.17	BestConfig.185.txt
0	0	20	20	109	0.18	0.18	BestConfig.186.txt
0	0	20	16	109	0.18	0.15	BestConfig.187.txt
0	0	26	25	109	0.24	0.23	BestConfig.188.txt
0	0	24	26	109	0.22	0.24	BestConfig.189.txt
0	0	21	17	109	0.19	0.16	BestConfig.19.txt
0	0	37	21	109	0.34	0.19	BestConfig.190.txt
0	0	26	11	109	0.24	0.1	BestConfig.191.txt
0	0	15	18	109	0.14	0.17	BestConfig.192.txt
0	0	16	13	109	0.15	0.12	BestConfig.193.txt
0	0	21	16	109	0.19	0.15	BestConfig.194.txt
0	0	17	14	109	0.16	0.13	BestConfig.195.txt
0	0	26	28	109	0.24	0.26	BestConfig.196.txt
0	0	23	22	109	0.21	0.2	BestConfig.197.txt
0	0	25	22	109	0.23	0.2	BestConfig.198.txt
