uk.mom	uk.dad	mom.disc	dad.disc	noff	mom.p.disc	dad.p.disc	file
0	0	4	5	109	0.04	0.05	BestConfig.1.txt
1	1	1	2	109	0.01	0.02	BestConfig.10.txt
1	0	3	1	109	0.03	0.01	BestConfig.100.txt
1	1	2	2	109	0.02	0.02	BestConfig.1000.txt
2	2	1	2	109	0.01	0.02	BestConfig.101.txt
1	3	1	3	109	0.01	0.03	BestConfig.102.txt
1	0	4	3	109	0.04	0.03	BestConfig.104.txt
1	1	3	2	109	0.03	0.02	BestConfig.105.txt
0	0	2	8	109	0.02	0.07	BestConfig.106.txt
0	1	5	2	109	0.05	0.02	BestConfig.107.txt
1	1	0	2	109	0	0.02	BestConfig.108.txt
2	1	1	2	109	0.01	0.02	BestConfig.109.txt
0	0	4	3	109	0.04	0.03	BestConfig.11.txt
1	0	3	2	109	0.03	0.02	BestConfig.110.txt
1	1	2	2	109	0.02	0.02	BestConfig.111.txt
0	0	2	0	109	0.02	0	BestConfig.112.txt
0	1	3	0	109	0.03	0	BestConfig.113.txt
1	0	6	1	109	0.06	0.01	BestConfig.114.txt
0	0	2	3	109	0.02	0.03	BestConfig.115.txt
1	2	3	0	109	0.03	0	BestConfig.116.txt
2	1	4	4	109	0.04	0.04	BestConfig.117.txt
3	0	2	6	109	0.02	0.06	BestConfig.118.txt
1	1	6	5	109	0.06	0.05	BestConfig.119.txt
2	1	0	4	109	0	0.04	BestConfig.12.txt
0	2	3	1	109	0.03	0.01	BestConfig.120.txt
1	0	4	1	109	0.04	0.01	BestConfig.121.txt
1	1	4	1	109	0.04	0.01	BestConfig.122.txt
0	0	1	1	109	0.01	0.01	BestConfig.123.txt
0	1	1	3	109	0.01	0.03	BestConfig.124.txt
1	2	0	0	109	0	0	BestConfig.125.txt
0	2	4	6	109	0.04	0.06	BestConfig.126.txt
0	0	2	1	109	0.02	0.01	BestConfig.127.txt
1	2	3	0	109	0.03	0	BestConfig.128.txt
2	3	4	5	109	0.04	0.05	BestConfig.129.txt
1	4	5	1	109	0.05	0.01	BestConfig.13.txt
0	0	3	1	109	0.03	0.01	BestConfig.130.txt
2	1	2	1	109	0.02	0.01	BestConfig.131.txt
1	3	4	4	109	0.04	0.04	BestConfig.132.txt
0	1	3	5	109	0.03	0.05	BestConfig.133.txt
1	1	7	4	109	0.06	0.04	BestConfig.134.txt
1	1	3	3	109	0.03	0.03	BestConfig.135.txt
3	0	1	3	109	0.01	0.03	BestConfig.136.txt
1	0	3	1	109	0.03	0.01	BestConfig.137.txt
0	2	5	5	109	0.05	0.05	BestConfig.138.txt
2	0	1	3	109	0.01	0.03	BestConfig.139.txt
3	1	3	2	109	0.03	0.02	BestConfig.14.txt
0	0	2	3	109	0.02	0.03	BestConfig.140.txt
4	2	4	1	109	0.04	0.01	BestConfig.141.txt
2	1	5	2	109	0.05	0.02	BestConfig.142.txt
1	0	1	2	109	0.01	0.02	BestConfig.143.txt
0	0	1	4	109	0.01	0.04	BestConfig.144.txt
0	2	4	1	109	0.04	0.01	BestConfig.145.txt
1	0	0	1	109	0	0.01	BestConfig.146.txt
0	3	4	3	109	0.04	0.03	BestConfig.147.txt
2	4	5	2	109	0.05	0.02	BestConfig.148.txt
1	1	1	4	109	0.01	0.04	BestConfig.149.txt
4	0	1	1	109	0.01	0.01	BestConfig.15.txt
0	1	7	1	109	0.06	0.01	BestConfig.150.txt
0	0	5	3	109	0.05	0.03	BestConfig.151.txt
0	0	4	2	109	0.04	0.02	BestConfig.152.txt
0	0	2	2	109	0.02	0.02	BestConfig.153.txt
1	0	2	3	109	0.02	0.03	BestConfig.154.txt
1	0	3	5	109	0.03	0.05	BestConfig.155.txt
5	2	2	5	109	0.02	0.05	BestConfig.156.txt
0	0	4	4	109	0.04	0.04	BestConfig.157.txt
0	0	0	1	109	0	0.01	BestConfig.158.txt
0	0	1	1	109	0.01	0.01	BestConfig.159.txt
0	0	3	0	109	0.03	0	BestConfig.160.txt
1	0	2	3	109	0.02	0.03	BestConfig.161.txt
2	0	4	6	109	0.04	0.06	BestConfig.162.txt
1	1	3	2	109	0.03	0.02	BestConfig.163.txt
1	2	2	5	109	0.02	0.05	BestConfig.164.txt
1	1	3	7	109	0.03	0.06	BestConfig.165.txt
4	2	4	3	109	0.04	0.03	BestConfig.166.txt
0	1	1	2	109	0.01	0.02	BestConfig.167.txt
1	2	5	4	109	0.05	0.04	BestConfig.168.txt
0	1	3	1	109	0.03	0.01	BestConfig.169.txt
0	0	3	3	109	0.03	0.03	BestConfig.17.txt
0	1	5	0	109	0.05	0	BestConfig.170.txt
0	0	3	4	109	0.03	0.04	BestConfig.171.txt
2	2	4	3	109	0.04	0.03	BestConfig.172.txt
1	2	5	1	109	0.05	0.01	BestConfig.173.txt
5	1	2	0	109	0.02	0	BestConfig.174.txt
0	1	0	3	109	0	0.03	BestConfig.175.txt
0	2	7	1	109	0.06	0.01	BestConfig.176.txt
0	1	3	1	109	0.03	0.01	BestConfig.177.txt
1	0	2	1	109	0.02	0.01	BestConfig.178.txt
0	1	5	1	109	0.05	0.01	BestConfig.179.txt
0	0	1	3	109	0.01	0.03	BestConfig.18.txt
