loc	Inferred	True	ratio	run
ASR	2.73	2.31	1.18	BestConfig.1.txt
GCC	2.56	2	1.28	BestConfig.1.txt
HGC	2.78	2.89	0.96	BestConfig.1.txt
HTC	4.38	2.94	1.49	BestConfig.1.txt
ASR	2.4	2.27	1.06	BestConfig.10.txt
GCC	3.09	2.69	1.15	BestConfig.10.txt
HGC	3.56	3.56	1	BestConfig.10.txt
HTC	3.71	2.62	1.42	BestConfig.10.txt
ASR	2.5	2.31	1.08	BestConfig.100.txt
GCC	2.89	2.33	1.24	BestConfig.100.txt
HGC	2.75	2.83	0.97	BestConfig.100.txt
HTC	3.76	2.68	1.4	BestConfig.100.txt
ASR	3.23	3.08	1.05	BestConfig.1000.txt
GCC	3	2.82	1.06	BestConfig.1000.txt
HGC	2.3	2.09	1.1	BestConfig.1000.txt
HTC	3.78	2.7	1.4	BestConfig.1000.txt
ASR	3.1	2.58	1.2	BestConfig.101.txt
GCC	2.78	2.45	1.13	BestConfig.101.txt
HGC	2.5	2.5	1	BestConfig.101.txt
HTC	3.8	2.87	1.32	BestConfig.101.txt
ASR	2.6	2.15	1.21	BestConfig.102.txt
GCC	3.25	2.6	1.25	BestConfig.102.txt
HGC	3.25	3.25	1	BestConfig.102.txt
HTC	4.24	2.72	1.56	BestConfig.102.txt
ASR	2.6	2.27	1.15	BestConfig.104.txt
GCC	4.1	3.58	1.15	BestConfig.104.txt
HGC	2.5	2.27	1.1	BestConfig.104.txt
HTC	4.03	2.98	1.35	BestConfig.104.txt
ASR	2.9	2.58	1.12	BestConfig.105.txt
GCC	3.1	2.58	1.2	BestConfig.105.txt
HGC	2.91	2.82	1.03	BestConfig.105.txt
HTC	5.17	2.84	1.82	BestConfig.105.txt
ASR	2.33	2.31	1.01	BestConfig.106.txt
GCC	3.5	3	1.17	BestConfig.106.txt
HGC	3.27	3	1.09	BestConfig.106.txt
HTC	3.94	2.84	1.39	BestConfig.106.txt
ASR	3.08	2.92	1.05	BestConfig.107.txt
GCC	3.09	3.09	1	BestConfig.107.txt
HGC	4.56	4.11	1.11	BestConfig.107.txt
HTC	4.77	2.48	1.92	BestConfig.107.txt
ASR	2.54	2.43	1.05	BestConfig.108.txt
GCC	3.12	2.89	1.08	BestConfig.108.txt
HGC	2	2	1	BestConfig.108.txt
HTC	4.38	3.04	1.44	BestConfig.108.txt
ASR	2.44	2.18	1.12	BestConfig.109.txt
GCC	2.7	2.55	1.06	BestConfig.109.txt
HGC	3.27	3.27	1	BestConfig.109.txt
HTC	4.19	3.1	1.35	BestConfig.109.txt
ASR	3.55	3.27	1.09	BestConfig.11.txt
GCC	3.3	3.3	1	BestConfig.11.txt
HGC	2.5	2.45	1.02	BestConfig.11.txt
HTC	3.78	2.65	1.43	BestConfig.11.txt
ASR	3.4	3.09	1.1	BestConfig.110.txt
GCC	3.7	3.36	1.1	BestConfig.110.txt
HGC	2.18	2.09	1.04	BestConfig.110.txt
HTC	3.94	2.82	1.4	BestConfig.110.txt
ASR	4.11	3.8	1.08	BestConfig.111.txt
GCC	3	2.45	1.22	BestConfig.111.txt
HGC	2.5	2.36	1.06	BestConfig.111.txt
HTC	3.97	2.54	1.56	BestConfig.111.txt
ASR	2.69	2.77	0.97	BestConfig.112.txt
GCC	3.18	2.83	1.12	BestConfig.112.txt
HGC	3	3	1	BestConfig.112.txt
HTC	3.39	2.67	1.27	BestConfig.112.txt
ASR	3	2.91	1.03	BestConfig.113.txt
GCC	2.78	2.08	1.34	BestConfig.113.txt
HGC	3.45	3.27	1.06	BestConfig.113.txt
HTC	3.78	2.84	1.33	BestConfig.113.txt
ASR	2.83	2.54	1.11	BestConfig.114.txt
GCC	3.2	2.83	1.13	BestConfig.114.txt
HGC	3	2.73	1.1	BestConfig.114.txt
HTC	3.67	2.63	1.4	BestConfig.114.txt
ASR	3.15	2.86	1.1	BestConfig.115.txt
GCC	2.62	2	1.31	BestConfig.115.txt
HGC	4.18	4.09	1.02	BestConfig.115.txt
HTC	3.79	2.92	1.3	BestConfig.115.txt
ASR	3	2.85	1.05	BestConfig.116.txt
GCC	2.55	2.25	1.13	BestConfig.116.txt
HGC	2.5	2.3	1.09	BestConfig.116.txt
HTC	4.34	2.91	1.49	BestConfig.116.txt
ASR	2.73	2.43	1.12	BestConfig.117.txt
GCC	3.4	3.3	1.03	BestConfig.117.txt
HGC	2	2	1	BestConfig.117.txt
HTC	4.72	3.14	1.5	BestConfig.117.txt
ASR	3.7	3.45	1.07	BestConfig.118.txt
GCC	2.5	2	1.25	BestConfig.118.txt
HGC	4.33	3.89	1.11	BestConfig.118.txt
HTC	3.97	2.54	1.56	BestConfig.118.txt
ASR	3.22	2.42	1.33	BestConfig.119.txt
GCC	3.62	2.64	1.37	BestConfig.119.txt
HGC	2.38	2.2	1.08	BestConfig.119.txt
