Female	Male	Obs	Exp	Diff	chi_sq
EAS	EAS	13	4.880733945	8.119266055	13.50667379
GCC	EAS	4	4.110091743	-0.110091743	0.002948886
HOC	EAS	1	3.082568807	-2.082568807	1.406973569
HTC	EAS	10	15.9266055	-5.926605505	2.205407348
EAS	GCC	0	0.174311927	-0.174311927	0.174311927
GCC	GCC	0	0.146788991	-0.146788991	0.146788991
HOC	GCC	0	0.110091743	-0.110091743	0.110091743
HTC	GCC	1	0.568807339	0.431192661	0.326871856
EAS	HOC	4	5.055045872	-1.055045872	0.220200137
GCC	HOC	12	4.256880734	7.743119266	14.08446694
HOC	HOC	7	3.19266055	3.80733945	4.5403617
HTC	HOC	6	16.49541284	-10.49541284	6.677837761
EAS	HTC	2	8.889908257	-6.889908257	5.339856657
GCC	HTC	0	7.486238532	-7.486238532	7.486238532
HOC	HTC	4	5.614678899	-1.614678899	0.464352102
HTC	HTC	45	29.00917431	15.99082569	8.814677158
