Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	8.75	0.7025	0.6975	0.005	0	99.6562	0.8609	0.0299	0.0236	0.0195	0	0.3437	0.109364118246687	1
Pop	109	8.375	0.7238	0.7463	-0.035	0	99.7712	0.9246	0.0278	0.0226	0.0234	0	0.2287	0.100242524634726	2
Pop	109	8.875	0.7375	0.7338	0.0025	0	99.5413	1.0078	0.0272	0.0278	0.0323	0	0.4588	0.106959344206592	3
Pop	109	8.5	0.7212	0.7288	-0.01	0	99.885	0.982	0.029	0.0303	0.011	0	0.115	0.104312266394835	4
Pop	109	8.75	0.7025	0.7062	-0.0088	0	99.4262	0.7962	0.0308	0.0256	0.019	0	0.5738	0.114809276248726	5
Pop	109	9	0.7338	0.7288	0.01	0	99.885	0.982	0.0304	0.0449	0.0294	0	0.115	0.111722188243289	6
Pop	109	8.375	0.7262	0.7538	-0.0363	0	99.7712	1.068	0.0283	0.0384	0.0162	0	0.2287	0.101343374108053	7
Pop	109	8.625	0.715	0.7075	0.0075	0	99.7712	0.9437	0.028	0.0245	0.0219	0	0.2287	0.112090163098879	8
Pop	109	8.75	0.7238	0.7412	-0.0262	0	99.885	0.921	0.0341	0.0322	0.0139	0	0.115	0.096987580699966	9
Pop	109	8.625	0.7138	0.73	-0.025	0	99.885	0.9437	0.0258	0.019	0.0175	0	0.115	0.105065273530411	10
Pop	109	8.75	0.7263	0.7312	-0.0038	0	99.6562	0.959	0.0293	0.0396	0.0157	0	0.3437	0.107697043832824	11
Pop	109	8.375	0.7388	0.76	-0.0312	0	99.885	1.117	0.0265	0.0265	0.0208	0	0.115	0.102443119266055	12
Pop	109	8.75	0.715	0.725	-0.0087	0	99.7712	0.959	0.0328	0.0472	0.0292	0	0.2287	0.103035236153585	13
Pop	109	8.25	0.725	0.73	-0.0062	0	99.885	0.8609	0.0289	0.0308	0.018	0	0.115	0.107021848453959	14
Pop	109	8.75	0.73	0.7475	-0.0225	0	100	1.048	0.0322	0.0384	0.0203	0	0	0.0956812606184166	15
Pop	109	8.875	0.7325	0.73	0.0075	0	99.4262	1.0078	0.0303	0.0427	0.024	0	0.5738	0.104235372069317	16
Pop	109	9	0.725	0.77	-0.0612	0	99.6562	0.9258	0.0297	0.0327	0.0189	0	0.3437	0.0990683656133197	17
Pop	109	8.75	0.74	0.7375	0.0075	0	100	0.8609	0.0269	0.038	0.0214	0	0	0.102543713897384	18
Pop	109	8.625	0.7325	0.7388	-0.0088	0	100	0.8224	0.0286	0.0315	0.0209	0	0	0.104864865783214	19
Pop	109	9	0.75	0.7662	-0.0225	0	99.1975	0.982	0.0263	0.0291	0.015	0	0.8025	0.103794257560313	20
