Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	6.125	0.6462	0.6712	-0.0412	0	99.885	0.4407	0.0233	0.0255	0.0281	0	0.115	0.118052242609582	1
Pop	109	5.75	0.6488	0.6675	-0.03	0	98.28	0.4532	0.0292	0.0313	0.0263	0	1.72	0.138467380224261	2
Pop	109	5.875	0.6475	0.655	-0.0137	0	99.885	0.5154	0.0319	0.0296	0.023	0	0.115	0.13134750254842	3
Pop	109	6	0.665	0.7175	-0.0762	0	99.3125	0.5	0.0235	0.0337	0.021	0	0.6875	0.128344036697248	4
Pop	109	6	0.6588	0.6962	-0.0525	0	99.0825	0.5	0.0236	0.0342	0.0262	0	0.9175	0.127396805980292	5
Pop	109	5.75	0.6425	0.6725	-0.045	0	99.6562	0.4532	0.028	0.0373	0.0275	0	0.3437	0.125845752633367	6
Pop	109	5.75	0.665	0.6775	-0.0112	0	99.7712	0.366	0.0295	0.0463	0.0301	0	0.2287	0.12718956846755	7
Pop	109	5.875	0.655	0.6588	-0.0025	0	99.1975	0.4407	0.0235	0.041	0.0432	0	0.8025	0.13764916751614	8
Pop	109	6	0.6462	0.67	-0.0412	0	99.6562	0.378	0.0283	0.0276	0.0273	0	0.3437	0.127913302752294	9
Pop	109	5.75	0.6425	0.66	-0.0275	0	99.885	0.5261	0.0314	0.0352	0.0159	0	0.115	0.130273156642881	10
Pop	109	5.875	0.645	0.6925	-0.0713	0	99.7712	0.4407	0.0323	0.0386	0.0197	0	0.2287	0.122832925586137	11
Pop	109	5.75	0.6438	0.6788	-0.0525	0	98.7387	0.559	0.0249	0.0324	0.0316	0	1.2613	0.127223326537547	12
Pop	109	6.125	0.65	0.6525	-0.005	0	100	0.4407	0.0302	0.0317	0.0232	0	0	0.130166106014271	13
Pop	109	5.5	0.655	0.6612	-0.01	0	99.4262	0.4226	0.0337	0.0355	0.02	0	0.5738	0.127996738022426	14
Pop	109	6	0.65	0.6675	-0.0275	0	99.7712	0.5	0.0285	0.031	0.0133	0	0.2287	0.132271865443425	15
Pop	109	5.625	0.6538	0.6925	-0.0575	0	99.3125	0.4199	0.0272	0.036	0.0173	0	0.6875	0.125754689092762	16
Pop	109	5.875	0.655	0.6625	-0.0138	0	99.3125	0.5154	0.0306	0.0323	0.0203	0	0.6875	0.139498980632008	17
Pop	109	6.125	0.645	0.65	-0.005	0	100	0.4407	0.0273	0.0341	0.0247	0	0	0.132818450560652	18
Pop	109	6	0.6625	0.705	-0.06	0	99.6562	0.4629	0.0309	0.0435	0.0246	0	0.3437	0.122208222901801	19
Pop	109	5.875	0.6662	0.675	-0.0125	0	99.7712	0.295	0.0236	0.0312	0.0349	0	0.2287	0.136125076452599	20
